System Type,Initial Condition,Temperature,initial Sigma,Initial Delta,Initial Beta,Initial 50 Sigma Mean,Initial 50 Sigma Var,Initial 50 delta Mean,Initial 50 delta Var,Initial 50 b Mean,Initial 50 b Var,FInal Sigma,Final Delta,Final beta,Final 50 Sigma Mean,Final 50 Sigma Var,Final 50 delta Mean,Final 50 delta Var,Final 50 b Mean,Final 50 b Var
4-3,Env CTSE,0.001,0.22778435073050385,0.7026110504956038,5.064705281412294,0.22483009071606372,5.924212473539493e-6,0.7026100539876421,7.065619795118026e-13,5.064538482992926,1.9795457523548745e-8,0.22077137572893446,0.7026101048784223,5.0645469985284715,0.22326716581359343,7.707719442901413e-6,0.7026089241566676,5.836710202057571e-13,5.064349374336183,1.635094628373867e-8
4-3,Env CTSE,0.001,0.22778435073050385,0.7026110546474694,5.064705976390798,0.22483009071606372,5.924212473539493e-6,0.7026100474354483,7.106885869063851e-13,5.064537386290879,1.9911060541770368e-8,0.22077137572893446,0.7026102104819864,5.064564674723867,0.22326716581359343,7.707719442901413e-6,0.7026089873643709,5.987248130256189e-13,5.06435995367597,1.677275829650854e-8
4-3,Env CTSE,0.001,0.22778435073050385,0.7026110527033329,5.064705650962835,0.22483009071606372,5.924212473539493e-6,0.7026100682856015,7.054545216319695e-13,5.064540876207231,1.976445804665614e-8,0.22077137572893446,0.7026100142717663,5.064531832622377,0.22326716581359343,7.707719442901413e-6,0.7026088535076735,5.881359031654514e-13,5.064337549632874,1.6475927206981975e-8
4-3,Env CTSE,0.01,0.22780799228433724,0.3195800718184958,0.6354101412661397,0.22482130040399256,5.998066992880777e-6,0.3195800718184958,2.6914026673749086e-63,0.6354101412661397,5.235475077588666e-62,0.22081355342615872,0.3195800718184958,0.6354101412661397,0.22326744252019465,7.591700499751569e-6,0.3195800718184958,3.0462665842167835e-63,0.6354101412661397,5.925750748941388e-62
4-3,Env CTSE,0.01,0.2278125422221448,0.32420720718074014,0.6561847111455228,0.22480943094650505,6.0387106510088296e-6,0.32420720718074014,8.905758906016018e-64,0.6561847111455228,1.6875379147675343e-62,0.22083453100869452,0.32420720718074014,0.6561847111455228,0.22326267198147132,7.528641297642626e-6,0.32420720718074014,1.4569414172497431e-63,0.6561847111455228,2.7607275462741137e-62
4-3,Env CTSE,0.01,0.22770568650566853,0.33283936986379103,0.6907463755903587,0.22477575660337612,5.8829900627276945e-6,0.33283936986379103,1.4057842305097776e-62,0.6907463755903587,2.5722082989267344e-61,0.22073138061000228,0.33283936986379103,0.6907463755903587,0.22322471849963324,7.761148250279273e-6,0.33283936986379103,1.815918936049399e-62,0.6907463755903587,3.322649866192113e-61
4-3,Env CTSE,0.1,0.2509992619607438,0.16268494028076588,0.20933224696285038,0.24688276952218802,5.115908386136931e-5,0.16268494028076588,3.984222002617527e-71,0.20933224696285038,1.0201857221564147e-68,0.24392352776003928,0.16268494028076588,0.20933224696285038,0.2414831412264541,3.8299895811303595e-5,0.16268494028076588,3.863350160157871e-71,0.20933224696285038,1.085170842746186e-68
4-3,Env CTSE,0.1,0.25026724068997025,0.1417151717570196,0.0777714059880061,0.2479311616201487,3.0446183031510825e-5,0.1417151717570196,2.0375578276558857e-72,0.0777714059880061,1.2216353769111887e-69,0.2411028080249538,0.1417151717570196,0.0777714059880061,0.2462055781337469,4.912052694479593e-5,0.1417151717570196,3.479995785153687e-72,0.0777714059880061,1.9628720246120715e-69
4-3,Env CTSE,0.1,0.2260735443745332,0.20905610037496436,-0.1366266130225938,0.22719925720395806,3.934538990608589e-5,0.20905610037496436,1.0975796943942682e-73,-0.1366266130225938,5.72269468713202e-70,0.23004621371008507,0.20905610037496436,-0.1366266130225938,0.23329561940224164,2.868791143262985e-5,0.20905610037496436,3.503818915197972e-73,-0.1366266130225938,7.76499524824827e-70
4-3,Env CTSE,1.0,0.24384584653938468,0.07740827006242038,0.20111439170860937,0.25220982257386715,5.532554754800013e-5,0.07740827006242038,1.737008977538551e-71,0.20111439170860937,3.992313814521898e-70,0.2547512961036183,0.07740827006242038,0.20111439170860937,0.24728927915795462,9.534048112933344e-5,0.07740827006242038,2.0571702572167963e-71,0.20111439170860937,5.291113096416571e-70
4-3,Env CTSE,1.0,0.26450621298025856,0.11985543538546466,-0.15046717582283384,0.25560104816668755,7.792543114597448e-5,0.11985543538546466,7.163153291086306e-70,-0.15046717582283384,6.048689708638278e-69,0.24813459701415122,0.11985543538546466,-0.15046717582283384,0.25536384904992776,0.00011246156023568982,0.11985543538546466,9.831408106936586e-70,-0.15046717582283384,1.0485676973722955e-68
4-3,Env CTSE,1.0,0.2501900530271487,0.12101184975544328,-0.2385978397718261,0.24095534004224725,3.7609788665937995e-5,0.12101184975544328,8.408779863452962e-70,-0.2385978397718261,4.031713451862247e-68,0.2381259747500077,0.12101184975544328,-0.2385978397718261,0.2453806883418027,0.00012166445604632294,0.12101184975544328,8.480560248970684e-70,-0.2385978397718261,4.16717877124413e-68
4-3,Env CTSE,10.0,0.24702752517245607,0.08652291336649479,-0.08580487336301192,0.25207848973271224,5.571385437016078e-5,0.08652291336649479,3.5480421413424784e-70,-0.08580487336301192,5.159652718554365e-69,0.2682269750972784,0.08652291336649479,-0.08580487336301192,0.2565468723242126,0.00015688118300429823,0.08652291336649479,7.529817037473108e-71,-0.08580487336301192,4.219949568093228e-70
4-3,Env CTSE,10.0,0.23820861425807702,0.1228142330272689,-0.1814003825636599,0.23629880416968108,4.5622688646849795e-5,0.1228142330272689,1.0304996749606276e-70,-0.1814003825636599,3.796377315317134e-69,0.23606358423695406,0.1228142330272689,-0.1814003825636599,0.2397463933177911,5.894621654867656e-5,0.1228142330272689,2.45965337772371e-71,-0.1814003825636599,5.4962719821096386e-70
4-3,Env CTSE,10.0,0.2456949184769326,0.12012545201089585,-0.16018938776043345,0.25174999349008065,7.135408424858837e-5,0.12012545201089585,3.6720292900870274e-72,-0.16018938776043345,9.825310472934134e-70,0.24826643414872177,0.12012545201089585,-0.16018938776043345,0.2489324110144185,0.00011578449711342753,0.12012545201089585,1.134273124972023e-71,-0.16018938776043345,2.719067659047685e-69
4-3,Env CTSE,0.001,0.22778435073050385,0.702611051635813,5.064705472271286,0.22483009071606372,5.924212473539493e-6,0.7026100417718998,7.148519509860967e-13,5.064536438332215,2.0027694591352112e-8,0.22077137572893446,0.7026100262625283,5.064533839654203,0.22326716581359343,7.707719442901413e-6,0.7026088732240895,5.886203193325926e-13,5.064340849622639,1.6489524817155618e-8
4-3,Env CTSE,0.001,0.22778435073050385,0.7026110670472007,5.06470805197573,0.22483009071606372,5.924212473539493e-6,0.7026100447115238,7.181205351157999e-13,5.064536930383767,2.0119261606515983e-8,0.22077137572893446,0.7026100510309176,5.064537985428044,0.22326716581359343,7.707719442901413e-6,0.7026088615722805,5.840862016936947e-13,5.064338899411537,1.6362480403634075e-8
4-3,Env CTSE,0.001,0.22778435073050385,0.7026110565506006,5.064706294954908,0.22483009071606372,5.924212473539493e-6,0.7026100426711366,7.081985037115993e-13,5.064536588822914,1.984128471533938e-8,0.22077137572893446,0.7026100332581205,5.064535010587484,0.22326716581359343,7.707719442901413e-6,0.7026088689984166,5.75536599704801e-13,5.0643401423111385,1.612298903658111e-8
4-3,Env CTSE,0.01,0.2277302325344104,0.3342015126596679,0.6969905714799879,0.2247898530966236,5.902361076841175e-6,0.3342015126596679,1.8004107688360028e-62,0.6969905714799879,3.2726381743700874e-61,0.22074705306396877,0.3342015126596679,0.6969905714799879,0.22323641710110398,7.73319545063116e-6,0.3342015126596679,1.3789456540833862e-62,0.6969905714799879,2.506540163057629e-61
4-3,Env CTSE,0.01,0.227918911318248,0.31776017320514477,0.6268314482408527,0.22497587437923966,5.873723489339499e-6,0.31776017320514477,2.3831303730969642e-63,0.6268314482408527,4.696261083995441e-62,0.22078168599375123,0.31776017320514477,0.6268314482408527,0.22336779940700205,7.823016667076913e-6,0.31776017320514477,2.1847381681500568e-63,0.6268314482408527,4.305329855906211e-62
4-3,Env CTSE,0.01,0.22791460964728927,0.33573988999575916,0.7060216722850987,0.2249229848085796,5.987979445930673e-6,0.33573988999575916,5.940346894188548e-63,0.7060216722850987,1.0684702349966151e-61,0.2208355728886137,0.33573988999575916,0.7060216722850987,0.22333955493595134,7.630715101837161e-6,0.33573988999575916,9.702560207936136e-63,0.7060216722850987,1.7451691042255454e-61
4-3,Env CTSE,0.1,0.24944385631286844,0.1550149994930519,-0.33471995753758915,0.24604728270183127,2.2151754457907754e-5,0.1550149994930519,1.8671567002474194e-70,-0.33471995753758915,2.6968149308330827e-69,0.24056289767503747,0.1550149994930519,-0.33471995753758915,0.24784715710576335,4.991496608883095e-5,0.1550149994930519,2.2156534987825425e-70,-0.33471995753758915,3.4483721893267286e-69
4-3,Env CTSE,0.1,0.23687904223359463,0.21140305104854304,-0.02819523720949641,0.22889151680586967,1.2320176923058078e-5,0.21140305104854304,7.347104074343612e-73,-0.02819523720949641,2.536073895294052e-71,0.22201852309366996,0.21140305104854304,-0.02819523720949641,0.2272546201074926,9.443875016314042e-6,0.21140305104854304,1.2730873906927766e-72,-0.02819523720949641,1.4043980120156988e-70
4-3,Env CTSE,0.1,0.22137523595597786,0.20510029711597938,-0.08370589645408949,0.2252255714608547,1.3431154186781724e-5,0.20510029711597938,1.549071966126415e-72,-0.08370589645408949,1.7964416341365223e-70,0.2322573160158239,0.20510029711597938,-0.08370589645408949,0.2258033798110984,2.6861039408361573e-5,0.20510029711597938,2.5908657985706223e-72,-0.08370589645408949,6.9634677916982425e-71
4-3,Env CTSE,1.0,0.2541575247330827,0.1306619370177501,-0.10944201862267922,0.2470891441580393,6.46473873158296e-5,0.1306619370177501,8.05739171765583e-71,-0.10944201862267922,9.48403333904319e-69,0.22615849360652907,0.1306619370177501,-0.10944201862267922,0.24612127855889174,6.117495362898904e-5,0.1306619370177501,1.1571329162685165e-70,-0.10944201862267922,9.75215504514113e-69
4-3,Env CTSE,1.0,0.25783632369937126,0.1162817827222981,-0.2892144145869843,0.24166090514167504,7.156814685085643e-5,0.1162817827222981,1.8118723650047325e-71,-0.2892144145869843,5.321701611629421e-70,0.2308294250981961,0.1162817827222981,-0.2892144145869843,0.24431764011914142,0.00011474381039895741,0.1162817827222981,2.026247179981257e-71,-0.2892144145869843,6.004956765871341e-70
4-3,Env CTSE,1.0,0.2632239732510174,0.11084667530633541,0.09184108202303712,0.2460656509423319,6.390745004360791e-5,0.11084667530633541,1.5970901221597074e-71,0.09184108202303712,1.5966283831483394e-69,0.25362703603440395,0.11084667530633541,0.09184108202303712,0.24505483462226266,4.1874987981091685e-5,0.11084667530633541,2.2317194487516054e-71,0.09184108202303712,2.220493621097387e-69
4-3,Env CTSE,10.0,0.24829604409315048,0.1225001406028827,-0.22197744377668002,0.24788556778503015,0.00011193118593815873,0.1225001406028827,1.5136780118063382e-70,-0.22197744377668002,1.821673091037419e-69,0.24237706930082767,0.1225001406028827,-0.22197744377668002,0.2505287095323324,0.00021408382808073528,0.1225001406028827,2.1766199521169604e-70,-0.22197744377668002,2.622160070162211e-69
4-3,Env CTSE,10.0,0.24513644231156234,0.10733597204989728,0.2596615600782505,0.24937378455135048,4.395176171000215e-5,0.10733597204989728,1.3236334907358485e-71,0.2596615600782505,1.853501483100345e-70,0.24429272409349806,0.10733597204989728,0.2596615600782505,0.25230211959980253,6.516802029489961e-5,0.10733597204989728,1.3428581385000147e-71,0.2596615600782505,2.4733168499364568e-70
4-3,Env CTSE,10.0,0.2598187513718891,0.1047543612110105,-0.28886916601923013,0.25173235228979085,7.122497089215916e-5,0.1047543612110105,2.3871738255518975e-70,-0.28886916601923013,2.560014249734702e-69,0.2589318382880816,0.1047543612110105,-0.28886916601923013,0.2455574388939542,6.949096030925684e-5,0.1047543612110105,1.7348109948992392e-71,-0.28886916601923013,1.0462264663150997e-70
