3-2,Equal Superposition,NA,0.6181917329037716,0.8124133277488876,1.2107314365487698,0.35430627476131793,0.33067592531011075,0.2881910310001032
3-2,All zeros,NA,0.6403541899303307,0.6155940539901558,-1.0251807795027459,0.3286505932303427,0.2290262688841368,-0.034765025797934834
3-2,CTSE,0.001,0.10393435766447925,0.6530328233571544,0.4844417003540135,0.10393435766447925,0.6530328233571544,0.4844417003540135
3-2,CTSE,0.001,0.10393435766447925,0.6530328233571544,0.4844417003540135,0.10393435766447925,0.6530328233571544,0.4844417003540135
3-2,CTSE,0.001,0.10393435766447925,0.6530328233571544,0.4844417003540135,0.10393435766447925,0.6530328233571544,0.4844417003540135
3-2,CTSE,0.001,0.10393435766447925,0.6530328233571544,0.4844417003540135,0.10393435766447925,0.6530328233571544,0.4844417003540135
3-2,CTSE,0.001,0.10393435766447925,0.6530328233571544,0.4844417003540135,0.10393435766447925,0.6530328233571544,0.4844417003540135
3-2,CTSE,0.01,0.10420489468674451,0.6530126979946835,0.4841572052956017,0.10395524269153646,0.6530313588848106,0.4844193125595475
3-2,CTSE,0.01,0.10321288068428484,0.653086451847373,0.48519721345490935,0.10337027935994761,0.6530752206045967,0.4850304439625074
3-2,CTSE,0.01,0.10304849291732465,0.6530980274532717,0.48537191944271335,0.10492292545681867,0.6529586736373839,0.48340183208333937
3-2,CTSE,0.01,0.10261873519042189,0.6531308624892819,0.4858144117349106,0.10293220397340887,0.6531091875635464,0.48548031294317584
3-2,CTSE,0.01,0.10377570484308819,0.653044557605467,0.48460855862958074,0.10392234628358694,0.6530337425707543,0.48445418572553584
3-2,CTSE,0.1,0.13875079057799025,0.6662194952844096,0.389372834474561,0.24145091630924018,0.6059285747163233,0.3930019140070941
3-2,CTSE,0.1,0.46917130169965376,0.33748099102887247,0.26425242628523343,0.4605707626341335,0.24296012784184348,0.5105034509757644
3-2,CTSE,0.1,0.23796497409264278,0.6608386751468286,0.27471974446907654,0.2997312927929817,0.5754657885955532,0.330206552730163
